Our Name,taxon_id,Rank,Class,Order,Family,Genus,iNat Species,Iconic,iNat Common
American Black Bear,41638,species,Mammalia,Carnivora,Ursidae,Ursus,Ursus americanus,Mammalia,American Black Bear
Grizzly Bear,125461,subspecies,Mammalia,Carnivora,Ursidae,Ursus,Ursus arctos horribilis,Mammalia,Grizzly Bear
Moose,42196,genus,Mammalia,Artiodactyla,Cervidae,,Alces,Mammalia,True Moose
White-tailed Deer,42223,species,Mammalia,Artiodactyla,Cervidae,Odocoileus,Odocoileus virginianus,Mammalia,White-tailed Deer
American Bison,None,,,,,,MISSING ID,,
Mountain Lion,42007,species,Mammalia,Carnivora,Felidae,Puma,Puma concolor,Mammalia,Mountain Lion
Coyote,42051,species,Mammalia,Carnivora,Canidae,Canis,Canis latrans,Mammalia,Coyote
Bobcat,41976,species,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,Mammalia,Bobcat
Gray Wolf,47144,species,Mammalia,Carnivora,Canidae,Canis,Canis familiaris,Mammalia,Domestic Dog
Raccoon,41663,species,Mammalia,Carnivora,Procyonidae,Procyon,Procyon lotor,Mammalia,Common Raccoon
North American Beaver,43794,species,Mammalia,Rodentia,Castoridae,Castor,Castor canadensis,Mammalia,American Beaver
Striped Skunk,41878,genus,Mammalia,Carnivora,Mephitidae,,Mephitis,Mammalia,Striped and Hooded Skunks
Virginia Opossum,42652,species,Mammalia,Didelphimorphia,Didelphidae,Didelphis,Didelphis virginiana,Mammalia,Virginia Opossum
Eastern Gray Squirrel,46017,species,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus carolinensis,Mammalia,Eastern Gray Squirrel
Red Fox,42054,genus,Mammalia,Carnivora,Canidae,,Vulpes,Mammalia,Typical Foxes
Bald Eagle,5305,species,Aves,Accipitriformes,Accipitridae,Haliaeetus,Haliaeetus leucocephalus,Aves,Bald Eagle
Red-tailed Hawk,5212,species,Aves,Accipitriformes,Accipitridae,Buteo,Buteo jamaicensis,Aves,Red-tailed Hawk
Great Blue Heron,4956,species,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea herodias,Aves,Great Blue Heron
Wild Turkey,906,species,Aves,Galliformes,Phasianidae,Meleagris,Meleagris gallopavo,Aves,Wild Turkey
Canada Goose,7089,species,Aves,Anseriformes,Anatidae,Branta,Branta canadensis,Aves,Canada Goose
American Alligator,26159,species,Reptilia,Crocodylia,Alligatoridae,Alligator,Alligator mississippiensis,Reptilia,American Alligator
Eastern Box Turtle,39814,species,Reptilia,Testudines,Emydidae,Terrapene,Terrapene carolina,Reptilia,Common Box Turtle
American Crocodile,26085,species,Reptilia,Crocodylia,Crocodylidae,Crocodylus,Crocodylus acutus,Reptilia,American Crocodile
Burmese Python,238252,species,Reptilia,Squamata,Pythonidae,Python,Python bivittatus,Reptilia,Burmese Python
